Player,TRB,AST,PTS
James Harden,6.6,7.5,36.1
Paul George,8.2,4.1,28
Giannis Antetokounmpo,12.5,5.9,27.7
Stephen Curry,5.3,5.2,27.3
Kawhi Leonard,7.3,3.3,26.6
Kevin Durant,6.4,5.9,26
Damian Lillard,4.6,6.9,25.8
Bradley Beal,5,5.5,25.6
Blake Griffin,7.5,5.4,24.5
Kyrie Irving,5,6.9,23.8
Russell Westbrook,11.1,10.7,22.9
LaMarcus Aldridge,9.2,2.4,21.3
DeMar DeRozan,6,6.2,21.2
Jrue Holiday,5,7.7,21.2
Mike Conley,3.4,6.4,21.1
CJ McCollum,4,3,21
Danilo Gallinari,6.1,2.6,19.8
Jimmy Butler,5.3,4,18.7
J.J. Redick,2.4,2.7,18.1
Andre Drummond,15.6,1.4,17.3
Harrison Barnes,4.7,1.5,16.4
Rudy Gobert,12.9,2,15.9
Chris Paul,4.6,8.2,15.6
Serge Ibaka,8.1,1.3,15
Kyle Lowry,4.8,8.7,14.2
Steven Adams,9.5,1.6,13.9
Enes Kanter,9.8,1.7,13.7
Marc Gasol,7.9,4.4,13.6
Al Horford,6.7,4.2,13.6
Paul Millsap,7.2,2,12.6
Brook Lopez,4.9,1.2,12.5
Hassan Whiteside,11.3,0.8,12
Gordon Hayward,4.5,3.4,11
DeAndre Jordan,13.1,2.3,11
Nicolas Batum,5.2,3.3,9.3
George Hill,2.5,2.3,7.6
LeBron James,8.5,8.3,27.4
Allen Crabbe,3.4,1.1,9.6
DeMarcus Cousins,8.2,3.6,16.3
Ryan Anderson,2.2,0.8,2.5
Carmelo Anthony,5.4,0.5,13.4
Dwight Howard,9.2,0.4,12.8
Victor Oladipo,5.6,5.2,18.8
Chandler Parsons,2.8,1.7,7.5
Jeff Teague,2.5,8.2,12.1
John Wall,3.6,8.7,20.7
Otto Porter,5.6,2.1,13.9
Anthony Davis,12,3.9,25.9
Kevin Love,10.9,2.2,17
