Player,Contract year,Avg Annual,Prior  Pts,Prior Reb,Prior Ast,After Pts,After Reb,After Ast
Stephen Curry,2017,"34,682,550",26.4,5.1,6.1,27.3,27.3,5.2
LeBron James,2017,"33,285,709",27.5,8.6,9.1,27.4,8.5,8.3
Paul Millsap,2017,"31,269,231",14.6,6.4,2.8,12.6,7.2,2
Gordon Hayward,2017,"29,727,900",2,1,0,11.5,3.4,0.9
Blake Griffin,2017,"29,512,900",21.6,8.1,4.9,21.4,7.4,5.8
Kyle Lowery,2016,"28,703,704",21.2,4.7,6.4,22.4,5.6,7
Russell Westbrook,2017,"28,530,608",31.6,10.7,10.4,25.4,10.1,10.3
Mike Conley,2016,"28,530,608",15.3,2.9,6.1,20.5,3.5,6.3
James Harden,2018,"28,299,399",30.4,5.4,8.8,36.1,6.6,7.5
DeMar DeRozan,2016,"27,399,975",23.5,4.5,4,27.3,5.2,3.9
Al Horford,2016,"27,734,405",15.2,7.3,3.2,14,6.8,5
Carmelo Anthony,2017,"26,243,760",22.4,5.9,2.9,16.2,5.8,1.3
Damian Lillard,2016,"26,153,057",25.1,4,6.8,27,4.9,5.9
J'Rue Holiday,2017,"25,686,667",15.4,3.9,7.3,19,3.7,4.5
Chris Bosh,2017,"25,289,390",n/a,n/a,n/a,n/a,n/a,n/a
Kevin Durant,2016,"41,063,925",26.4,6.8,5.4,26,6.4,5.9
Otto Porter,2017,"24,773,250",13.4,6.4,1.5,14.7,6.4,2
Chris Paul,2017,"24,599,495",18.1,5,9.2,18.6,5.4,7.9
CJ McCollum,2017,"23,962,573",23,3.6,3.6,21.4,4,3.4
Bradley Beal,2016,"23,775,506",17.4,3.4,2.9,23.1,3.1,3.5
Anthony Davis,2016,"23,775,506",24.3,10.3,1.9,28,11.8,2.1
Andree Drummond,2018,"23,775,506",15,16,3,17.3,15.6,1.4
Hassan Whiteside,2016,"23,775,506",14.2,11.8,0.4,17,14.1,0.7
Dwight Howard,2017,"23,500,500",13.5,12.7,1.4,16.6,12.5,1.3
Chandler Parson,2016,"23,112,004",13.7,4.7,2.8,6.2,2.5,1.6
Harrison Barnes,2018,"23,112,004",18.9,6.1,2,16.4,4.7,1.5
JJ Reddick,2017,"23,000,000",15,2.2,1.4,17.1,2.5,3
Marc Gasol,2018,"22,642,350",17.2,8.1,4.2,13.6,7.9,4.4
Kevin Love,2018,"22,642,350",17.6,9.3,1.7,17,10.9,2.2
Brook Lopez,2017,"22,642,350",20.5,5.4,2.3,13,4,1.7
DeAndre Jordan,2018,"22,642,350",12,15.2,1.5,11,13.1,2.3
Steven Adams,2017,"22,471,910",11.3,7.7,1.1,13.9,9,1.2
Giannis Antetekounpo,2017,"22,471,910",22.9,8.8,5.4,26.9,10,4.8
Nick Batum,2016,"22,434,783",14.9,6.1,5.8,15.1,6.2,5.9
Rudy Gobert,2017,"21,974,719",14,12.8,1.2,13.5,10.7,1.4
LaMarcus Aldridge,2017,"21,461,010",17.3,7.3,1.9,13.1,8.5,2
Victor Oladipo,2017,"21,000,000",15.9,4.3,2.6,23.1,5.2,4.3
Enes Kanter,2017,"20,566,802",14.3,6.7,0.9,14.1,11,1.5
Danilo Gallinari,2017,"20,559,599",18.2,5.2,2.1,15.3,4.8,2
Serge Ibaka,2017,"20,061,729",14.8,6.8,0.9,12.6,6.3,0.8
George Hill,2018,"20,000,000",10,2.7,2.8,10.8,2.1,2.8
Ryan Anderson,2016,"19,578,455",17,6,1.1,13.6,4.6,0.9
Paul George,2017,"19,508,958",23.7,6.6,3.3,21.9,5.7,3.3
Allen Crabbe,2017,"19,332,500",10.7,2.9,1.2,13.2,4.3,1.6
Jimmy Butler,2017,"19,301,070",23.9,6.2,5.5,22.2,5.3,4.9
Jeff Teague,2016,"19,000,000",15.7,2.7,5.9,15.3,4,7.8
Kawhi Leonard,2018,"18,868,625",16.2,4.7,2.3,26.6,7.3,3.3
Kyrie Irving,2017,"18,868,625",25.2,3.2,5.8,24.4,3.8,5.1
John Wall,2016,"18,063,850",19.9,4.9,10.2,23.1,4.2,10.7
DeMarcus Cousins,2016,"18,063,850",27,11,4.6,25.2,12.9,5.4
