PLAYER,SIGNED AGE,YRS,VALUE,YEAR AVG,SIGN BONUS,G'TEED @ SIGN,PRACTICAL G'TEED,Year Signed
Russell Wilson,30,4,"$140,000,000 ","$35,000,000 ","$65,000,000 ","$70,000,000 ","$107,000,000 ",2019
Ben Roethlisberger,37,2,"$68,000,000 ","$34,000,000 ","$37,500,000 ","$37,500,000 ","$37,500,000 ",2019
Aaron Rodgers,34,4,"$134,000,000 ","$33,500,000 ","$57,500,000 ","$79,200,000 ","$98,700,000 ",2018
Jared Goff,24,4,"$134,000,000 ","$33,500,000 ","$25,000,000 ","$57,042,682 ","$110,042,682 ",2019
Carson Wentz,26,4,"$128,000,000 ","$32,000,000 ","$16,367,683 ","$66,470,683 ","$107,970,683 ",2019
Matt Ryan,32,5,"$150,000,000 ","$30,000,000 ","$46,500,000 ","$94,500,000 ","$100,000,000 ",2018
Jimmy Garoppolo,26,5,"$137,500,000 ","$27,500,000 ","$7,000,000 ","$41,700,000 ","$74,100,000 ",2018
Matthew Stafford,29,5,"$135,000,000 ","$27,000,000 ","$50,000,000 ","$60,500,000 ","$92,000,000 ",2017
Derek Carr,26,5,"$125,000,000 ","$25,000,000 ","$12,500,000 ","$40,000,000 ","$70,200,000 ",2017
Khalil Mack,27,6,"$141,000,000 ","$23,500,000 ","$34,000,000 ","$60,000,000 ","$90,000,000 ",2018
Alex Smith,33,4,"$94,000,000 ","$23,500,000 ","$27,000,000 ","$55,000,000 ","$71,000,000 ",2018
Aaron Donald,27,6,"$135,000,000 ","$22,500,000 ","$40,000,000 ","$50,000,000 ","$86,892,000 ",2018
Julio Jones,30,3,"$66,000,000 ","$22,000,000 ","$25,000,000 ","$64,000,000 ","$64,000,000 ",2019
DeMarcus Lawrence,26,5,"$105,000,000 ","$21,000,000 ","$25,000,000 ","$48,000,000 ","$65,000,000 ",2019
Frank Clark,25,5,"$104,000,000 ","$20,800,000 ","$19,000,000 ","$43,805,000 ","$62,305,000 ",2019
Michael Thomas,25,5,"$96,250,000 ","$19,250,000 ","$20,000,000 ","$35,648,043 ","$60,598,043 ",2019
Von Miller,27,6,"$114,100,000 ","$19,016,667 ","$17,000,000 ","$42,000,000 ","$70,000,000 ",2016
"Odell Beckham, Jr.",25,5,"$90,000,000 ","$18,000,000 ","$20,000,000 ","$40,959,000 ","$65,000,000 ",2018
Trey Flowers,25,5,"$90,000,000 ","$18,000,000 ","$28,070,000 ","$40,000,000 ","$56,000,000 ",2019
Lane Johnson,29,4,"$72,000,000 ","$18,000,000 ","$3,000,000 ","$20,350,000 ","$54,595,000 ",2019
Bobby Wagner,29,3,"$54,000,000 ","$18,000,000 ","$15,000,000 ","$24,500,000 ","$40,250,000 ",2019
Tyreek Hill,25,3,"$54,000,000 ","$18,000,000 ","$5,800,000 ","$22,540,000 ","$35,000,000 ",2019
Cameron Jordan,29,3,"$52,500,000 ","$17,500,000 ","$15,500,000 ","$27,435,000 ","$42,035,000 ",2019
Fletcher Cox,25,6,"$102,600,000 ","$17,100,000 ","$26,000,000 ","$36,299,000 ","$63,299,000 ",2016
Dee Ford,27,5,"$85,500,000 ","$17,100,000 ","$8,000,000 ","$19,750,000 ","$33,350,000 ",2019
C.J. Mosley,26,5,"$85,000,000 ","$17,000,000 ","$7,500,000 ","$43,000,000 ","$51,000,000 ",2019
Grady Jarrett,26,4,"$68,000,000 ","$17,000,000 ","$18,000,000 ","$38,000,000 ","$42,500,000 ",2019
J.J. Watt,25,6,"$100,005,425 ","$16,667,571 ","$10,000,000 ","$30,881,810 ","$51,876,000 ",2014
Chandler Jones,27,5,"$82,500,000 ","$16,500,000 ","$15,000,000 ","$31,000,000 ","$51,000,000 ",2017
Mike Evans,24,5,"$82,500,000 ","$16,500,000 ",-,"$38,258,000 ","$55,008,000 ",2018
Za'Darius Smith,26,4,"$66,000,000 ","$16,500,000 ","$20,000,000 ","$20,000,000 ","$20,000,000 ",2019
Trenton Brown,25,4,"$66,000,000 ","$16,500,000 ",-,"$36,250,000 ","$36,250,000 ",2019
Geno Atkins,30,4,"$65,200,000 ","$16,300,000 ","$13,000,000 ","$17,000,000 ","$25,000,000 ",2018
DeAndre Hopkins,25,5,"$81,000,000 ","$16,200,000 ","$7,500,000 ","$36,500,000 ","$49,000,000 ",2017
Brandin Cooks,24,5,"$81,000,000 ","$16,200,000 ","$7,000,000 ","$20,459,000 ","$49,459,000 ",2018
Kawann Short,28,5,"$80,500,000 ","$16,100,000 ","$20,000,000 ","$35,000,000 ","$35,000,000 ",2017
Adam Thielen,28,4,"$64,200,000 ","$16,050,000 ","$9,000,000 ","$14,105,000 ","$33,000,000 ",2019
Taylor Lewan,27,5,"$80,000,000 ","$16,000,000 ","$11,000,000 ","$34,000,000 ","$50,000,000 ",2018
Melvin Ingram,28,4,"$64,000,000 ","$16,000,000 ","$10,500,000 ","$34,000,000 ","$34,000,000 ",2017
Nate Solder,29,4,"$62,000,000 ","$15,500,000 ","$16,000,000 ","$34,800,000 ","$34,800,000 ",2018
Jarvis Landry,25,5,"$75,500,000 ","$15,100,000 ","$7,500,000 ","$34,000,000 ","$47,000,000 ",2018
Jurrell Casey,27,4,"$60,400,000 ","$15,100,000 ","$8,000,000 ","$24,000,000 ","$40,000,000 ",2017
Xavien Howard,25,5,"$75,250,000 ","$15,050,000 ","$7,000,000 ","$27,185,641 ","$39,260,641 ",2019
Ezekiel Elliott,24,6,"$90,000,000 ","$15,000,000 ","$7,500,000 ","$28,052,137 ","$50,052,137 ",2019
Jake Matthews,26,5,"$72,500,000 ","$14,500,000 ","$13,946,000 ","$34,946,000 ","$41,350,000 ",2018
Davante Adams,25,4,"$58,000,000 ","$14,500,000 ","$18,000,000 ","$24,000,000 ","$30,000,000 ",2017
Danielle Hunter,23,5,"$72,000,000 ","$14,400,000 ","$15,000,000 ","$16,907,000 ","$40,000,000 ",2018
